paddock,sample_id,lat,lon,ph,cec_cmolkg,esp_pct,na_cmolkg,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
HILLPDK,13,-34.287970605771434,147.28765647172378,4.57,5.9,2.527634487840825,0.1491304347826086,-0.1085121107266436,0.1929104190695886,0.2069357939254133,0.05536332179930796,-0.21413302575932336,-0.11909265667051133,0.2288965782391388,0.3014225297962323,0.07111111111111111,9.84236831987697E-4,0.05536332179930796,0.017777777777777778,-0.019930795847750864,0.2288965782391388,-0.03254133025759323,-0.16633602460592078,-0.09842368319876971,0.1085121107266436,-0.07111111111111111,0.0629911572472126,-0.07111111111111111,0.11374086889657825,-0.07535563244905807,-0.019930795847750864,0.05536332179930796,-0.15378700499807765,-0.03844675124951941,-0.07111111111111111,-0.01574778931180315,-0.2069357939254133,-0.17937716262975778,-0.16633602460592078,-0.08882737408688965,-0.13016532103037293,0.07535563244905807,-0.024605920799692427,-0.12456747404844293,-0.010396001537870049,-0.010396001537870049,0.01384083044982699,-0.21413302575932336,0.017777777777777778,-0.044844290657439445,-0.03844675124951941,0.21413302575932336,-0.13588619761630144,-0.08421376393694734,-0.11374086889657825,-0.007443291041906958,0.04822760476739715,0.2069357939254133,-0.05536332179930796,-0.186082276047674,0.044844290657439445,-0.024605920799692427,-0.17279507881584008,-0.022206843521722412,-0.04822760476739715,-0.09842368319876971,-0.1085121107266436,-0.010396001537870049,0.04822760476739715,0.08421376393694734,0.1929104190695886
HILLPDK,1,-34.29045956074552,147.2826027947705,4.51,6.2,2.251051893408135,0.1395652173913043,-0.13588619761630144,0.1929104190695886,0.19986159169550174,0.06698961937716265,-0.22145328719723184,-0.11909265667051133,0.2364628988850442,0.31009611687812383,0.06698961937716265,-0.003936947327950788,0.0629911572472126,-0.041584006151480196,0.003936947327950788,0.19986159169550174,-0.07111111111111111,-0.186082276047674,-0.07111111111111111,0.07535563244905807,-0.07535563244905807,0.07111111111111111,-0.10340638216070744,0.09356401384083046,-0.07111111111111111,-0.017777777777777778,0.044844290657439445,-0.14173010380622836,-0.044844290657439445,-0.05173394848135333,-9.84236831987697E-4,-0.21413302575932336,-0.186082276047674,-0.15378700499807765,-0.09356401384083046,-0.13016532103037293,0.044844290657439445,-0.012056901191849288,-0.14173010380622836,-0.006151480199923107,-0.0271280276816609,0.044844290657439445,-0.17279507881584008,-0.01384083044982699,-0.05911572472126105,-0.04822760476739715,0.2288965782391388,-0.14769703960015382,-0.07111111111111111,-0.1085121107266436,-0.03543252595155709,0.041584006151480196,0.17279507881584008,-0.07535563244905807,-0.16000000000000003,0.07535563244905807,-0.022206843521722412,-0.17279507881584008,-0.022206843521722412,-0.022206843521722412,-0.1085121107266436,-0.09842368319876971,0.01384083044982699,0.029773164167627833,0.11909265667051133,0.2069357939254133
HILLPDK,2,-34.28917770809045,147.28301334533586,4.48,5.6,2.616459627329193,0.1465217391304347,-0.12456747404844293,0.2069357939254133,0.2288965782391388,0.05911572472126105,-0.2288965782391388,-0.13588619761630144,0.2364628988850442,0.28444444444444444,0.07535563244905807,-0.006151480199923107,0.03844675124951941,-0.01384083044982699,0.004982698961937716,0.1929104190695886,-0.044844290657439445,-0.17279507881584008,-0.08421376393694734,0.08421376393694734,-0.07972318339100345,0.05911572472126105,-0.08421376393694734,0.11909265667051133,-0.07535563244905807,-0.019930795847750864,0.03254133025759323,-0.11909265667051133,-0.05173394848135333,-0.05911572472126105,-0.024605920799692427,-0.22145328719723184,-0.17279507881584008,-0.15378700499807765,-0.09842368319876971,-0.13016532103037293,0.05911572472126105,-0.012056901191849288,-0.13016532103037293,9.84236831987697E-4,-0.006151480199923107,0.03543252595155709,-0.186082276047674,0.01384083044982699,-0.05536332179930796,-0.03543252595155709,0.2069357939254133,-0.16633602460592078,-0.09842368319876971,-0.11374086889657825,-0.01574778931180315,0.044844290657439445,0.19986159169550174,-0.0629911572472126,-0.15378700499807765,0.07111111111111111,-0.029773164167627833,-0.16000000000000003,-0.03254133025759323,-0.03844675124951941,-0.12456747404844293,-0.09356401384083046,0.006151480199923107,0.041584006151480196,0.10340638216070744,0.186082276047674
HILLPDK,5,-34.28384969413682,147.2840453427333,4.58,7.3,3.3472304943418707,0.2443478260869565,-0.11374086889657825,0.19986159169550174,0.21413302575932336,0.05536332179930796,-0.22145328719723184,-0.14769703960015382,0.2599000384467512,0.29287197231833906,0.08421376393694734,-0.017777777777777778,0.05536332179930796,-0.01574778931180315,-0.03543252595155709,0.1929104190695886,-0.03543252595155709,-0.16633602460592078,-0.08882737408688965,0.07972318339100345,-0.07535563244905807,0.041584006151480196,-0.09842368319876971,0.09842368319876971,-0.07111111111111111,-0.01574778931180315,0.05911572472126105,-0.14769703960015382,-0.03543252595155709,-0.05536332179930796,-0.044844290657439445,-0.2364628988850442,-0.17279507881584008,-0.15378700499807765,-0.1085121107266436,-0.10340638216070744,0.08882737408688965,-0.0271280276816609,-0.13588619761630144,-0.003014225297962322,-0.017777777777777778,0.03543252595155709,-0.186082276047674,0.012056901191849288,-0.05173394848135333,-0.05173394848135333,0.2069357939254133,-0.15378700499807765,-0.09356401384083046,-0.13016532103037293,0.01384083044982699,0.06698961937716265,0.1929104190695886,-0.05173394848135333,-0.16000000000000003,0.08421376393694734,-0.01574778931180315,-0.17279507881584008,-0.024605920799692427,-0.0629911572472126,-0.1085121107266436,-0.11374086889657825,-0.003014225297962322,0.022206843521722412,0.07111111111111111,0.2069357939254133
HILLPDK,6,-34.28207368948555,147.28438932736643,4.55,7,5.192546583850931,0.3634782608695652,-0.09842368319876971,0.21413302575932336,0.21413302575932336,0.07535563244905807,-0.2069357939254133,-0.14173010380622836,0.2364628988850442,0.3014225297962323,0.07535563244905807,-0.008858131487889272,0.06698961937716265,-0.008858131487889272,-0.044844290657439445,0.19986159169550174,-0.041584006151480196,-0.16000000000000003,-0.08421376393694734,0.07111111111111111,-0.07972318339100345,0.03844675124951941,-0.09356401384083046,0.09842368319876971,-0.07972318339100345,-0.01384083044982699,0.07111111111111111,-0.16000000000000003,-0.029773164167627833,-0.06698961937716265,-0.029773164167627833,-0.22145328719723184,-0.1929104190695886,-0.14173010380622836,-0.10340638216070744,-0.1085121107266436,0.07535563244905807,-0.029773164167627833,-0.11909265667051133,-0.003014225297962322,-0.029773164167627833,0.041584006151480196,-0.1929104190695886,0.012056901191849288,-0.05536332179930796,-0.05173394848135333,0.1929104190695886,-0.14173010380622836,-0.08421376393694734,-0.13016532103037293,0.01574778931180315,0.0629911572472126,0.19986159169550174,-0.04822760476739715,-0.15378700499807765,0.06698961937716265,-0.007443291041906958,-0.1929104190695886,-0.024605920799692427,-0.06698961937716265,-0.10340638216070744,-0.12456747404844293,9.84236831987697E-4,0.029773164167627833,0.07972318339100345,0.21413302575932336
HILLPDK,18,-34.284703047642246,147.2904937610901,4.6,7.8,2.9041248606466,0.2265217391304348,-0.08882737408688965,0.2069357939254133,0.21413302575932336,0.0629911572472126,-0.22145328719723184,-0.12456747404844293,0.24415224913494812,0.29287197231833906,0.08421376393694734,0.024605920799692427,0.05536332179930796,-0.004982698961937716,-0.004982698961937716,0.19986159169550174,-0.024605920799692427,-0.16000000000000003,-0.09356401384083046,0.0629911572472126,-0.08882737408688965,0.07535563244905807,-0.09356401384083046,0.10340638216070744,-0.07535563244905807,-0.019930795847750864,0.05173394848135333,-0.14173010380622836,-0.03543252595155709,-0.06698961937716265,-0.03844675124951941,-0.19986159169550174,-0.17937716262975778,-0.15378700499807765,-0.11374086889657825,-0.11909265667051133,0.07972318339100345,-0.022206843521722412,-0.13016532103037293,-0.006151480199923107,-0.019930795847750864,0.022206843521722412,-0.1929104190695886,0.01384083044982699,-0.06698961937716265,-0.041584006151480196,0.22145328719723184,-0.14769703960015382,-0.07111111111111111,-0.11374086889657825,-0.0271280276816609,0.05173394848135333,0.1929104190695886,-0.05536332179930796,-0.16633602460592078,0.07535563244905807,-0.012056901191849288,-0.186082276047674,-0.019930795847750864,-0.04822760476739715,-0.09842368319876971,-0.11374086889657825,-0.029773164167627833,0.03543252595155709,0.08421376393694734,0.1929104190695886
HILLPDK,19,-34.286479052289764,147.29014990548455,4.64,6,2.304347826086957,0.1382608695652174,-0.09842368319876971,0.2069357939254133,0.2069357939254133,0.06698961937716265,-0.2288965782391388,-0.14173010380622836,0.2519646289888504,0.29287197231833906,0.07972318339100345,0.03254133025759323,0.03844675124951941,-0.003014225297962322,-0.008858131487889272,0.1929104190695886,-0.01574778931180315,-0.14173010380622836,-0.08882737408688965,0.06698961937716265,-0.09356401384083046,0.07111111111111111,-0.08882737408688965,0.09842368319876971,-0.07972318339100345,-0.024605920799692427,0.05536332179930796,-0.14173010380622836,-0.03254133025759323,-0.06698961937716265,-0.03543252595155709,-0.2069357939254133,-0.186082276047674,-0.15378700499807765,-0.11909265667051133,-0.13588619761630144,0.08421376393694734,-0.010396001537870049,-0.11374086889657825,-0.004982698961937716,5.536332179930795E-4,0.041584006151480196,-0.186082276047674,0.03254133025759323,-0.07535563244905807,-0.03543252595155709,0.2364628988850442,-0.14769703960015382,-0.07972318339100345,-0.1085121107266436,-0.0271280276816609,0.05173394848135333,0.17937716262975778,-0.07111111111111111,-0.15378700499807765,0.0629911572472126,-0.022206843521722412,-0.17937716262975778,-0.03254133025759323,-0.044844290657439445,-0.10340638216070744,-0.09356401384083046,-0.024605920799692427,0.03543252595155709,0.09842368319876971,0.1929104190695886
HILLPDK,20,-34.28825505693722,147.28980604264115,4.52,6.4,3.220108695652174,0.2060869565217391,-0.07111111111111111,0.2069357939254133,0.19986159169550174,0.0629911572472126,-0.2364628988850442,-0.13016532103037293,0.2519646289888504,0.29287197231833906,0.07111111111111111,0.0271280276816609,0.05173394848135333,0.0015378700499807767,-0.01574778931180315,0.2069357939254133,-0.017777777777777778,-0.14173010380622836,-0.08882737408688965,0.0629911572472126,-0.09356401384083046,0.08882737408688965,-0.09356401384083046,0.1085121107266436,-0.07111111111111111,-0.029773164167627833,0.04822760476739715,-0.13588619761630144,-0.024605920799692427,-0.06698961937716265,-0.0271280276816609,-0.19986159169550174,-0.17279507881584008,-0.17279507881584008,-0.12456747404844293,-0.12456747404844293,0.07535563244905807,-0.003014225297962322,-0.12456747404844293,-0.022206843521722412,-0.003936947327950788,0.022206843521722412,-0.186082276047674,0.022206843521722412,-0.07535563244905807,-0.022206843521722412,0.2364628988850442,-0.13588619761630144,-0.08421376393694734,-0.11374086889657825,-0.03543252595155709,0.04822760476739715,0.16633602460592078,-0.07111111111111111,-0.14769703960015382,0.0629911572472126,-0.01384083044982699,-0.186082276047674,-0.03543252595155709,-0.044844290657439445,-0.11909265667051133,-0.09842368319876971,-0.017777777777777778,0.019930795847750864,0.1085121107266436,0.19986159169550174
HILLPDK,21,-34.28973106014795,147.28941030775627,4.38,5,8.660869565217391,0.4330434782608695,-0.09842368319876971,0.19986159169550174,0.19986159169550174,0.05536332179930796,-0.2288965782391388,-0.12456747404844293,0.2364628988850442,0.3014225297962323,0.07535563244905807,-0.007443291041906958,0.041584006151480196,0.010396001537870049,-0.010396001537870049,0.22145328719723184,-0.01574778931180315,-0.16000000000000003,-0.08882737408688965,0.09356401384083046,-0.07535563244905807,0.07535563244905807,-0.07972318339100345,0.11909265667051133,-0.09356401384083046,-0.03844675124951941,0.03543252595155709,-0.16000000000000003,-0.03543252595155709,-0.07535563244905807,-0.024605920799692427,-0.2069357939254133,-0.17279507881584008,-0.17937716262975778,-0.10340638216070744,-0.13016532103037293,0.07535563244905807,-0.017777777777777778,-0.13016532103037293,0.012056901191849288,0.002214532871972318,0.0271280276816609,-0.2069357939254133,0.03543252595155709,-0.044844290657439445,-0.029773164167627833,0.21413302575932336,-0.13588619761630144,-0.08421376393694734,-0.1085121107266436,-0.017777777777777778,0.03844675124951941,0.186082276047674,-0.05911572472126105,-0.16633602460592078,0.05173394848135333,-0.024605920799692427,-0.17937716262975778,-0.022206843521722412,-0.044844290657439445,-0.08882737408688965,-0.10340638216070744,-0.0271280276816609,0.03254133025759323,0.07535563244905807,0.17279507881584008
HILLPDK,14,-34.28619460112273,147.28800037999744,4.65,6,2.731884057971014,0.1639130434782608,-0.10340638216070744,0.19986159169550174,0.2069357939254133,0.05911572472126105,-0.22145328719723184,-0.11374086889657825,0.24415224913494812,0.29287197231833906,0.07972318339100345,-0.024605920799692427,0.05536332179930796,0.012056901191849288,-0.022206843521722412,0.2069357939254133,-0.019930795847750864,-0.16633602460592078,-0.09356401384083046,0.09356401384083046,-0.07111111111111111,0.05911572472126105,-0.08421376393694734,0.11374086889657825,-0.07111111111111111,-0.03254133025759323,0.05173394848135333,-0.14173010380622836,-0.03543252595155709,-0.0629911572472126,-0.022206843521722412,-0.21413302575932336,-0.186082276047674,-0.16633602460592078,-0.11909265667051133,-0.13016532103037293,0.08421376393694734,-0.029773164167627833,-0.13016532103037293,-0.003014225297962322,-0.017777777777777778,0.022206843521722412,-0.1929104190695886,0.01574778931180315,-0.041584006151480196,-0.05173394848135333,0.21413302575932336,-0.14769703960015382,-0.08421376393694734,-0.11909265667051133,-0.003014225297962322,0.0629911572472126,0.2069357939254133,-0.06698961937716265,-0.17937716262975778,0.0629911572472126,-0.01384083044982699,-0.17279507881584008,-0.03254133025759323,-0.04822760476739715,-0.08882737408688965,-0.09842368319876971,-0.008858131487889272,0.03844675124951941,0.09842368319876971,0.1929104190695886
HILLPDK,15,-34.28441859647398,147.28834428102925,4.73,8.5,5.57544757033248,0.4739130434782608,-0.10340638216070744,0.19986159169550174,0.2069357939254133,0.05536332179930796,-0.21413302575932336,-0.12456747404844293,0.24415224913494812,0.28444444444444444,0.07111111111111111,-0.01384083044982699,0.041584006151480196,-0.002214532871972318,-0.03254133025759323,0.2069357939254133,-0.03254133025759323,-0.17279507881584008,-0.09842368319876971,0.07111111111111111,-0.06698961937716265,0.05536332179930796,-0.08421376393694734,0.11374086889657825,-0.07535563244905807,-0.024605920799692427,0.06698961937716265,-0.13588619761630144,-0.03844675124951941,-0.07111111111111111,-0.03254133025759323,-0.2288965782391388,-0.17937716262975778,-0.14769703960015382,-0.09356401384083046,-0.11374086889657825,0.08421376393694734,-0.03844675124951941,-0.13588619761630144,-0.004982698961937716,-0.01384083044982699,0.03254133025759323,-0.186082276047674,0.0271280276816609,-0.04822760476739715,-0.05911572472126105,0.21413302575932336,-0.16000000000000003,-0.08421376393694734,-0.12456747404844293,-9.84236831987697E-4,0.06698961937716265,0.21413302575932336,-0.0629911572472126,-0.17937716262975778,0.05536332179930796,-0.01384083044982699,-0.17937716262975778,-0.017777777777777778,-0.04822760476739715,-0.09356401384083046,-0.10340638216070744,-0.01384083044982699,0.041584006151480196,0.09842368319876971,0.21413302575932336
HILLPDK,16,-34.2826425918252,147.28868817481978,4.62,6.2,5.35063113604488,0.3317391304347826,-0.1085121107266436,0.19986159169550174,0.19986159169550174,0.05911572472126105,-0.21413302575932336,-0.11909265667051133,0.2364628988850442,0.29287197231833906,0.07972318339100345,0.006151480199923107,0.05173394848135333,0.002214532871972318,-0.019930795847750864,0.19986159169550174,-0.044844290657439445,-0.17279507881584008,-0.10340638216070744,0.07535563244905807,-0.08421376393694734,0.06698961937716265,-0.07972318339100345,0.09842368319876971,-0.07972318339100345,-0.019930795847750864,0.0629911572472126,-0.13588619761630144,-0.029773164167627833,-0.07535563244905807,-0.019930795847750864,-0.21413302575932336,-0.17937716262975778,-0.13588619761630144,-0.08882737408688965,-0.12456747404844293,0.07972318339100345,-0.03844675124951941,-0.13016532103037293,-0.024605920799692427,-0.01384083044982699,0.03543252595155709,-0.186082276047674,0.03844675124951941,-0.05173394848135333,-0.05911572472126105,0.21413302575932336,-0.14769703960015382,-0.08421376393694734,-0.13016532103037293,-0.008858131487889272,0.05911572472126105,0.2069357939254133,-0.0629911572472126,-0.17937716262975778,0.0629911572472126,-0.01574778931180315,-0.1929104190695886,-0.01384083044982699,-0.05536332179930796,-0.08421376393694734,-0.11374086889657825,0.003936947327950788,0.03844675124951941,0.09842368319876971,0.2069357939254133
HILLPDK,17,-34.28292704299473,147.29083760945832,4.77,7.9,6.604292790313703,0.5217391304347826,-0.10340638216070744,0.2364628988850442,0.1929104190695886,0.03254133025759323,-0.2288965782391388,-0.13588619761630144,0.2364628988850442,0.29287197231833906,0.07972318339100345,0.01574778931180315,0.04822760476739715,-0.012056901191849288,-0.017777777777777778,0.21413302575932336,-0.024605920799692427,-0.15378700499807765,-0.07972318339100345,0.06698961937716265,-0.10340638216070744,0.06698961937716265,-0.08882737408688965,0.09356401384083046,-0.08421376393694734,-0.006151480199923107,0.05536332179930796,-0.16633602460592078,-0.03844675124951941,-0.0629911572472126,-0.017777777777777778,-0.19986159169550174,-0.16633602460592078,-0.15378700499807765,-0.11374086889657825,-0.11909265667051133,0.07972318339100345,-0.0271280276816609,-0.13016532103037293,5.536332179930795E-4,-0.01384083044982699,0.03844675124951941,-0.1929104190695886,0.024605920799692427,-0.06698961937716265,-0.0271280276816609,0.2069357939254133,-0.13588619761630144,-0.08421376393694734,-0.11909265667051133,-0.008858131487889272,0.03543252595155709,0.1929104190695886,-0.05536332179930796,-0.16000000000000003,0.07111111111111111,-5.536332179930795E-4,-0.1929104190695886,-0.024605920799692427,-0.06698961937716265,-0.09356401384083046,-0.11374086889657825,-0.019930795847750864,0.044844290657439445,0.09842368319876971,0.1929104190695886
HILLPDK,3,-34.287401703439286,147.28335735171862,4.44,5.2,0.9782608695652172,0.0508695652173913,-0.12456747404844293,0.19986159169550174,0.21413302575932336,0.07535563244905807,-0.22145328719723184,-0.13016532103037293,0.2288965782391388,0.31009611687812383,0.07111111111111111,-0.017777777777777778,0.04822760476739715,-0.024605920799692427,-0.004982698961937716,0.1929104190695886,-0.05536332179930796,-0.17279507881584008,-0.08882737408688965,0.08421376393694734,-0.08421376393694734,0.05536332179930796,-0.09356401384083046,0.07972318339100345,-0.08421376393694734,-0.0271280276816609,0.04822760476739715,-0.13588619761630144,-0.029773164167627833,-0.07111111111111111,-0.041584006151480196,-0.22145328719723184,-0.186082276047674,-0.16633602460592078,-0.08421376393694734,-0.12456747404844293,0.07535563244905807,-0.010396001537870049,-0.13016532103037293,-0.012056901191849288,-0.012056901191849288,0.04822760476739715,-0.186082276047674,0.03543252595155709,-0.06698961937716265,-0.03543252595155709,0.2069357939254133,-0.16000000000000003,-0.09842368319876971,-0.13588619761630144,-0.007443291041906958,0.041584006151480196,0.2069357939254133,-0.05536332179930796,-0.17279507881584008,0.07111111111111111,0.0015378700499807767,-0.17937716262975778,-0.03543252595155709,-0.017777777777777778,-0.11374086889657825,-0.08882737408688965,0.0271280276816609,0.022206843521722412,0.09356401384083046,0.2069357939254133
