A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,CEC,ESP,pH,paddock
-0.1085121107266436,0.18988935879362637,0.212560980819343,0.05066085693536674,-0.21413302575932336,-0.12033662266649577,0.2364902387970439,0.29952240591225604,0.0702088940151224,-0.007538980733905762,0.054693493955316336,0.018686829851766416,-0.017224144559784698,0.22892391815113847,-0.03657396727754282,-0.16425135631594692,-0.09519757358281004,0.1057029347686787,-0.07299756503908755,0.06258789354521765,-0.0768251527190397,0.11922935623050963,-0.0730249049510872,-0.018748344653765646,0.052048357469349396,-0.15450467768806872,-0.039574522619505316,-0.06487761117518903,-0.009924388055875945,-0.20620445127942247,-0.18310222563971124,-0.16851638258789356,-0.09579221666880261,-0.13657653039429282,0.07263531120509208,-0.02662223930966722,-0.12712375582041094,-0.006315519671921056,-0.011701482335853731,0.016650006407791875,-0.206963133837413,0.01740868896578239,-0.04100303302148746,-0.04499466017343756,0.21014823358537316,-0.13603656713229956,-0.08478106711094024,-0.11206629928659918,-0.009596309111880046,0.04872655816139091,0.20380537400145243,-0.059238754325259525,-0.18536460335768296,0.04841898415139477,-0.027025503011662177,-0.17279507881584008,-0.025234738775684565,-0.053456362937331796,-0.097521466102781,-0.10568926481267887,-0.014032209833824598,0.046013071895424834,0.08583365372292709,0.19067538126361658,5.9,2.527634487840825,4.57,HILLPDK
-0.1365765303942928,0.19293775898158827,0.2046187363834423,0.06843179973514461,-0.22145328719723184,-0.12646076295441924,0.23060532273911744,0.3091323849801359,0.06793284634115085,-0.0007860224699901748,0.062225639711222164,-0.03752402921953094,0.007415951129907301,0.19759921397753002,-0.06806954590114914,-0.1838472382417019,-0.07547866205305652,0.07778204963902774,-0.07585458584305184,0.07399547182707505,-0.10229911572472127,0.09469862018881628,-0.07646289888504422,-0.021161091887735486,0.042739117433465756,-0.13603656713229956,-0.04835063437139562,-0.050954760989363065,-0.0014285104019821436,-0.21575975052330304,-0.18533726344568327,-0.15449100773206886,-0.09203981374684951,-0.12892135503438848,0.046457345465419284,-0.013902345251826221,-0.13978213507625276,-0.005078388653936521,-0.017955487205775555,0.04524755435943441,-0.16502370882993722,-0.007648340381904396,-0.05958733820325516,-0.04758511683540519,0.2288965782391388,-0.15320603186808496,-0.07639454910504508,-0.1096877269426289,-0.035138621897560764,0.04526122431543424,0.1742577641078218,-0.07539664231705755,-0.1642240164039472,0.07783672946302705,-0.023929257977700884,-0.17645179204579436,-0.020757828185740526,-0.023006535947712417,-0.11257892263659275,-0.10063821607074203,0.01161262762185484,0.029185356059635174,0.12213422188047332,0.2045777265154428,6.2,2.2510518934081345,4.51,HILLPDK
-0.12104062540048699,0.2093348712033833,0.2272425135631595,0.05911572472126105,-0.2272425135631595,-0.13208594984834893,0.23902601563501216,0.28725362040240937,0.0787526165150156,-0.007867059677901663,0.04204194967747447,-0.014004869921824937,0.007060532273911743,0.19679952155154,-0.04904780212738691,-0.17282241872783974,-0.084241103848947,0.08733051390490838,-0.08689991029091376,0.05703105643128711,-0.09155453030885558,0.11733606732453329,-0.07778204963902774,-0.025877226707676535,0.034243239779571964,-0.1173087274125336,-0.053360673245332994,-0.0591430646332607,-0.024291511811696354,-0.22558844888718013,-0.1692067153658849,-0.1552086804220599,-0.0973437566747832,-0.12892135503438848,0.06258789354521765,-0.011557947797855525,-0.1276910589944039,-0.0003690888119953863,-0.0063701994959203725,0.04291682686146354,-0.18533726344568327,0.013840830449826992,-0.05500106796531248,-0.03851510102951856,0.2069357939254133,-0.16422401640394715,-0.09897731641676279,-0.11199794950660001,-0.015419710367807253,0.04275278738946559,0.1975445341535307,-0.06521252509718484,-0.15175701653210305,0.07299756503908755,-0.0294792601136315,-0.1614080054679824,-0.03203554188559956,-0.0358631295655517,-0.12274253492246572,-0.09523858345080953,0.00907685078388654,0.0408868383954889,0.10120551924473493,0.19525481652355936,5.6,2.616459627329193,4.48,HILLPDK
-0.10920244350463497,0.20221965910547227,0.21738647528728272,0.0604485454312444,-0.2214806271092315,-0.1510803537101115,0.2554914776368063,0.29101285830236234,0.084241103848947,-0.022890341321713872,0.058295527361271304,-0.015180486137810244,-0.035794779785552566,0.19446879405356915,-0.03684053141953948,-0.1656320218719296,-0.09199880387885001,0.07778204963902774,-0.07778204963902774,0.04456405655944294,-0.09788371993677646,0.09739843649878252,-0.07732410611303348,-0.018789354521765132,0.057058396343286764,-0.1430970994062113,-0.03322482805758468,-0.061822376009227215,-0.04306036139946174,-0.23731727113503354,-0.170642060745867,-0.15243367935409458,-0.10853945063864326,-0.10685121107266436,0.08987996069887651,-0.030135418001623306,-0.13208594984834898,-0.0014968601819812892,-0.01742235892178222,0.03354607202358067,-0.18914434619163567,0.012945448331838182,-0.05018924345337263,-0.04750309709940621,0.2014336366354821,-0.1510803537101115,-0.09572386688880347,-0.1339792387543253,0.01174249220385322,0.06572514844717843,0.19216540646759794,-0.054167200649322914,-0.16000000000000003,0.08679055064291513,-0.014476483403819046,-0.1720910760818489,-0.023539664231705757,-0.0604485454312444,-0.10627023794267162,-0.11257892263659275,-0.001592549873980093,0.02302020590371225,0.07161006450510489,0.21013456362937333,7.3,3.3472304943418707,4.58,HILLPDK
-0.10350207185270624,0.2093348712033833,0.21494638814131323,0.07779571959502757,-0.20774915630740312,-0.13979580503225258,0.2381853133410227,0.29572215814430347,0.07395446195907558,-0.010519031141868513,0.0647682515271904,-0.010341321713870734,-0.040927848263488394,0.19678585159554018,-0.03926694860950916,-0.16282968089196467,-0.08681789055491479,0.07252595155709345,-0.08221795036097229,0.035138621897560764,-0.09521124353880987,0.10130120893673372,-0.07923789995300953,-0.013683625955828956,0.0671126489811611,-0.15723866888803453,-0.03010807808962365,-0.06933401683113333,-0.024318851723696015,-0.22393438421120082,-0.1929104190695886,-0.14840104233414497,-0.102880088854714,-0.1102550301166218,0.07589559571105131,-0.027654320987654323,-0.12035029262249562,-0.001995813575975052,-0.03137938399760776,0.04488530052543893,-0.19139305395360762,0.00930240505788372,-0.05380494681532745,-0.04720919304540989,0.19445512409756935,-0.1411081208082362,-0.08575163398692812,-0.12959801785638003,0.009691998803878851,0.06093382886923832,0.19986159169550174,-0.05177495834935282,-0.1538006749540775,0.06614208210517322,-0.007737195095903284,-0.1944551240975693,-0.028330983809645865,-0.06655901576316801,-0.0958332265368021,-0.12335084796445812,0.002344397453970694,0.03256867016959289,0.08634627707292068,0.2173864752872827,7.0,5.192546583850931,4.55,HILLPDK
-0.08525268059293435,0.2045777265154428,0.21173394848135335,0.0630321671152121,-0.22145328719723184,-0.12581144004442738,0.24502029134093728,0.29572215814430347,0.08324319706095946,0.021653210303729336,0.055793925413302574,-0.006260839847921739,-0.00569353667392883,0.20221965910547227,-0.0193361527617583,-0.15792900166602594,-0.09149985048485626,0.06169934640522875,-0.08476739715494042,0.07394079200307575,-0.09356401384083046,0.09953094963475587,-0.07205433807509933,-0.018509120423768635,0.05213721218334829,-0.14116280063223546,-0.034468794053569146,-0.06886240334913923,-0.04057926438549275,-0.19986159169550174,-0.18012217523174845,-0.154477337776069,-0.11552479815455591,-0.1209175957964885,0.07972318339100345,-0.022035969071724552,-0.1320722798923491,-0.003936947327950788,-0.02094237259173822,0.02698449314366269,-0.19215173651159814,0.012897603485838783,-0.06927933700713401,-0.041959929941475495,0.22228031953522154,-0.14769703960015382,-0.07158272459310522,-0.11671408432654104,-0.027838865393652015,0.050968430945362894,0.1883583237216455,-0.05334700328933316,-0.16848904267589385,0.06977829040112778,-0.011161519073860482,-0.186082276047674,-0.0182562262377718,-0.04786535093340169,-0.09842368319876971,-0.11434918193857062,-0.029814174035627323,0.033546072023580675,0.08730317399290871,0.1929104190695886,7.8,2.9041248606466,4.6,HILLPDK
-0.09257977700884276,0.21013456362937333,0.21013456362937333,0.06301849715921226,-0.2288965782391388,-0.1365491904822932,0.24675637575291556,0.29383570421632704,0.08171899696697853,0.028604382929642444,0.044905805459438675,-0.006541073945918237,-0.009849203297876884,0.20066128412149176,-0.014729377589815882,-0.1430560895382118,-0.09093254731086335,0.06927933700713401,-0.09093254731086337,0.07635353923704559,-0.09360502370882995,0.0973437566747832,-0.07635353923704559,-0.024715280447691057,0.05259515570934256,-0.13913281216626086,-0.029226365927634668,-0.06390704429920116,-0.03784527318552693,-0.2045777265154428,-0.18165321030372933,-0.15378700499807765,-0.11849801358451874,-0.1339792387543253,0.08073476013499083,-0.009746678627878164,-0.11493015506856336,0.00013669955999829134,-0.002125678157973429,0.038528770985518386,-0.19064804135161692,0.032609680037592376,-0.07778204963902774,-0.03582211969755222,0.2356221965910547,-0.14570806100217867,-0.0827442436669657,-0.11141697637660727,-0.02408646247169892,0.04919817164338502,0.18161220043572984,-0.06883506343713958,-0.15243367935409458,0.06389337434320133,-0.018276731171771542,-0.17937716262975778,-0.03192618223760092,-0.04751676705540605,-0.1023127856807211,-0.0962638301507967,-0.023450809517706863,0.029670639497629117,0.09419966679482251,0.19140672390960742,6.0,2.3043478260869565,4.64,HILLPDK
-0.07492502883506344,0.20696313383741297,0.19599982912555003,0.06432397795719595,-0.23394079200307571,-0.13529155453030886,0.2519646289888504,0.2947720962023153,0.06883506343713958,0.0275039514716562,0.047222863001409716,0.004832329445939596,-0.009883378187876456,0.20300568157546245,-0.0172241445597847,-0.1430834294502115,-0.09148618052885643,0.06444700756119441,-0.0973437566747832,0.0857926438549276,-0.09303772053483704,0.10401469520269982,-0.0763535392370456,-0.02649237472766884,0.045691827929428844,-0.13335725575633306,-0.029445085223631935,-0.06790550642915119,-0.02686146353966423,-0.19599982912555003,-0.17950019223375627,-0.16779870989790252,-0.12152590883848093,-0.12581144004442738,0.07441240548506986,-0.006602588747917467,-0.11974197958050323,-0.02427784185569653,-0.0020368234439745395,0.026000256311674998,-0.1823845529497202,0.021249946601734376,-0.07832201290102098,-0.029034986543637058,0.24076210004699045,-0.13990516468025121,-0.08626425733692171,-0.11552479815455591,-0.03710709556153616,0.051159810329360504,0.1684890426758939,-0.07299756503908755,-0.1504173608441198,0.06305950702721176,-0.018768849587765393,-0.1838472382417019,-0.03610235379554873,-0.04563714810542954,-0.1149985048485625,-0.09953094963475587,-0.023601179033704987,0.020436584219744546,0.1156478277585544,0.19759921397753002,6.4,3.2201086956521734,4.52,HILLPDK
-0.10465034815669189,0.2014336366354821,0.20151565637148108,0.054611474219317356,-0.22396172412320048,-0.12767738903840403,0.24331154684095863,0.29952240591225604,0.07541031227305738,-0.010867615019864156,0.04020334059549745,0.010819770173864754,-0.00788072963390149,0.21657311290529288,-0.016028023409799648,-0.15794267162202572,-0.0867768806869153,0.09203981374684951,-0.07685249263103937,0.07161006450510489,-0.0848084070229399,0.11611944124054847,-0.09418599683882269,-0.037120765517535986,0.03214490153359819,-0.1526113887820924,-0.036785851595540174,-0.0726489811610919,-0.02497500961168781,-0.20696313383741297,-0.17352642146183095,-0.17791447733777607,-0.10400102524669999,-0.13207227989234913,0.07779571959502757,-0.01697125037378786,-0.1252167969584348,0.014134734503823318,0.005611516937929856,0.03106497500961168,-0.19761288393352988,0.0306480413516169,-0.04947840574138152,-0.03231577598359606,0.2182271775812722,-0.1404724678542441,-0.08629159724892137,-0.10686488102866419,-0.019479687299756507,0.04134478192148319,0.17870049980776626,-0.06353112050920585,-0.17065573070186682,0.055404331667307447,-0.02519372890768508,-0.17718313469178523,-0.024366696569695416,-0.05314878892733564,-0.09094621726686318,-0.10008458285274896,-0.027948225041650645,0.033211158101584856,0.08376949036695289,0.17572044939980352,5.0,8.660869565217391,4.38,HILLPDK
-0.1001119227647486,0.1975445341535307,0.20614977145542313,0.0570720662992866,-0.22393438421120082,-0.1126062625485924,0.23988038788500152,0.2928856422743389,0.0787526165150156,-0.022876671365714044,0.05793327352727583,0.01306164295783673,-0.023170575419710366,0.21173394848135332,-0.025856721773676792,-0.1656593617839293,-0.09519757358281004,0.08577897389892777,-0.06973728053312828,0.06260156350121747,-0.08271690375496604,0.11317356572258531,-0.07395446195907558,-0.03612969370754838,0.05262249562134222,-0.13913281216626086,-0.03196719210560041,-0.0683771199111453,-0.024981844589687725,-0.21173394848135335,-0.1831022256397112,-0.16281601093596482,-0.11212097911059847,-0.13334358580033323,0.08472638728694093,-0.031126489811610918,-0.12708274595241148,-0.002754496133965569,-0.01605536332179931,0.02228886325772139,-0.19293775898158827,0.019602716903754966,-0.04616344141142295,-0.0501755734973728,0.21577342047930287,-0.14706138664616175,-0.08124738348498442,-0.11971463966850354,-0.004114656755948568,0.05754367978128071,0.20457772651544281,-0.06793284634115085,-0.17791447733777607,0.06791917638515102,-0.013895510273826307,-0.17794181724977573,-0.031099149899611253,-0.04414712290144815,-0.089920970566876,-0.09575120680080312,-0.008741936861890724,0.038111837327523594,0.09209449357084883,0.19757187406553037,6.0,2.7318840579710146,4.65,HILLPDK
-0.10741851424665727,0.20221965910547227,0.20536374898543297,0.058281857405271476,-0.21494638814131323,-0.12456747404844293,0.2381989832970225,0.28725362040240937,0.07395446195907558,-0.01265837925584177,0.04339527532145756,0.00025289418599683884,-0.03350506215558118,0.20221965910547227,-0.03586312956555171,-0.17279507881584008,-0.10065188602674185,0.07346917852108165,-0.07163740441710453,0.056224529027297195,-0.0867768806869153,0.11318723567858514,-0.07828100303302149,-0.02572685719167841,0.06747490281515657,-0.13334358580033323,-0.03812550728352343,-0.07113845102311078,-0.031939852193600744,-0.22558844888718013,-0.18013584518774828,-0.1470340467341621,-0.09356401384083046,-0.11552479815455591,0.0867768806869153,-0.037496689307531285,-0.13334358580033323,-0.0067461232859156745,-0.012309795377846128,0.03256867016959289,-0.18535093340168313,0.03045666196761929,-0.04982698961937717,-0.0545841343073177,0.21413302575932336,-0.15516767055406042,-0.08271690375496604,-0.12397283096245035,-0.0030552351659618093,0.06666837541116664,0.21173394848135338,-0.06521252509718484,-0.18086718783373915,0.05914306463326072,-0.013868170361826648,-0.18161220043572981,-0.01710111495578624,-0.046347985817420646,-0.09518390362681022,-0.10229911572472127,-0.012323465333845957,0.04202827972147465,0.09680379341278995,0.21494638814131323,8.5,5.57544757033248,4.73,HILLPDK
-0.1138092186765774,0.2045777265154428,0.20064761416549193,0.06305950702721176,-0.21494638814131323,-0.11794438036652569,0.24158913238498014,0.29572215814430347,0.08122004357298476,0.0045110854799436115,0.04750309709940621,-0.0005878081079926524,-0.019240463069759496,0.20221965910547227,-0.049047802127386894,-0.171359733435858,-0.09899098637276262,0.07927890982100903,-0.0837284804989534,0.06436498782519545,-0.08478106711094026,0.10232645563672091,-0.07632619932504595,-0.020689478405741382,0.06266991328121663,-0.13334358580033323,-0.029185356059635174,-0.07301123499508738,-0.01857747020376778,-0.21740014524328252,-0.1794181724977573,-0.1378341663462771,-0.08987996069887651,-0.12395916100645055,0.08076210004699048,-0.034188559955572635,-0.12644709299841944,-0.022090648895723868,-0.015406040411807424,0.03779059336152761,-0.1845922508436926,0.03239779571959502,-0.052567815797342904,-0.056210859071297366,0.21254731086334322,-0.1510803537101115,-0.0867768806869153,-0.12459481396044257,-0.012002221367849973,0.06272459310521594,0.2093348712033833,-0.06256055363321798,-0.17937716262975778,0.06303216711521209,-0.016650006407791875,-0.1898893587936264,-0.013895510273826307,-0.05377760690332778,-0.08679055064291513,-0.11083600324661454,0.006226664957922167,0.04237686359947029,0.10344739202870691,0.21333333333333337,6.2,5.35063113604488,4.62,HILLPDK
-0.10632491776667094,0.23143235507710708,0.1952274766115597,0.03314964329958563,-0.22641548122516986,-0.12894869494638816,0.2450339612969371,0.2947720962023153,0.08171899696697853,0.016055363321799306,0.043798539023452515,-0.010293476867871333,-0.017859797513776754,0.21253364090734336,-0.02555598274168055,-0.15243367935409458,-0.08229997009697126,0.06389337434320133,-0.10120551924473492,0.061877055833226544,-0.09041992396086976,0.0962638301507967,-0.0797368533470033,-0.008379683027895254,0.05895852022726303,-0.16422401640394715,-0.03612969370754838,-0.06000427186124994,-0.019028578751762143,-0.20066128412149176,-0.16920671536588494,-0.15378700499807765,-0.11611944124054847,-0.11849801358451874,0.08530736041693367,-0.025610662565679867,-0.1272331154684096,-0.004162501601947969,-0.01740868896578239,0.039143919005510695,-0.19448246400956898,0.020997052415737537,-0.06521252509718484,-0.026957153231663034,0.20536374898543297,-0.1378341663462771,-0.0857926438549276,-0.1173087274125336,-0.009186210431885174,0.03578110982955274,0.19064804135161692,-0.053347003289333166,-0.16143534537998205,0.06701695928916229,-0.002043658421974454,-0.19063437139561706,-0.022780981673715242,-0.06482293135118972,-0.09095988722286301,-0.11502584476056217,-0.017039600153787006,0.04174804562347815,0.10175915246272801,0.1975445341535307,7.9,6.604292790313703,4.77,HILLPDK
-0.12829937203639627,0.1975445341535307,0.2165731129052929,0.07442607544106969,-0.21901320005126237,-0.1339792387543253,0.2347814942970652,0.31596052800205054,0.06794651629715068,-0.016971250373787862,0.04941005596138237,-0.020334059549745823,-0.0048254944679396805,0.1929104190695886,-0.0506881968473664,-0.17135973343585803,-0.08525268059293435,0.08679055064291513,-0.08375582041095306,0.05145371438335683,-0.09410397710282371,0.07445341535306935,-0.0827442436669657,-0.026355675167670553,0.043812208979452344,-0.1378341663462771,-0.034872057755564095,-0.0666000256311675,-0.03847409116151907,-0.22145328719723184,-0.18761331111965485,-0.16636336451792047,-0.08688624033491393,-0.12459481396044257,0.07549233200905636,-0.012952283309838096,-0.12831304199239607,-0.013977530009825283,-0.01401853987782477,0.05298474945533769,-0.18165321030372933,0.03293092400358836,-0.06747490281515657,-0.03611602375154855,0.2045777265154428,-0.16426502627194667,-0.09309240035883636,-0.13146396685035672,-0.0053039429279337,0.044523046691443455,0.20300568157546245,-0.058281857405271476,-0.17210474603784867,0.07163740441710455,-0.003786577811952668,-0.18161220043572981,-0.03227476611559657,-0.021263616557734205,-0.11436285189457045,-0.09145884061685677,0.02747661155965654,0.02472211542569097,0.09472596010081594,0.21336067324533303,5.2,0.9782608695652173,4.44,HILLPDK
-0.09314708018283567,0.210961595967363,0.22477508650519035,0.06703062924516212,-0.22310735187321118,-0.12231193130847112,0.2652860011106839,0.30242727156221966,0.07685249263103937,-0.019042248707761975,0.05029860310137127,-0.025063864325686705,-0.007709855183903628,0.2046324063394421,-0.029028151565637143,-0.16853005254389336,-0.08993464052287582,0.05742748515528215,-0.07976419325900296,0.06930667691913367,-0.09853304284676835,0.09146567559485669,-0.08738519372890768,-0.026116450937673546,0.022480242641718995,-0.12459481396044257,-0.032609680037592376,-0.06483660130718955,-0.03983425178350206,-0.2272425135631595,-0.1779281472937759,-0.16140800546798242,-0.13342560553633215,-0.12711008586441114,0.09094621726686318,-0.018570635225767868,-0.13533256439830835,0.013840830449826988,-0.05526079712930924,0.040217010551497276,-0.19525481652355936,-0.001640394719979495,-0.057044726387286936,-0.02691614336366355,0.22158998675723013,-0.14109445085223635,-0.10855312059464309,-0.11383655858857705,-0.013806655559827416,0.04245888333546926,0.17576145926780298,-0.05705839634328677,-0.15797001153402535,0.08046819599299417,-0.01517365115981033,-0.18012217523174845,-0.02077833311974027,-0.0336075868255799,-0.09900465632876244,-0.10463667820069203,0.012911273441838608,0.01075825537186552,0.07589559571105133,0.1868546285616643,3.6,1.328502415458937,4.31,HILLPDK
-0.11376820880857788,0.208562518689393,0.21013456362937333,0.08173266692297836,-0.21575975052330307,-0.12769105899440383,0.2373446110470332,0.2900627963603742,0.08221795036097229,-0.0033354692639583064,0.05997693194925028,-0.018748344653765646,-0.03777692340552778,0.19987526165150157,-0.045274894271434066,-0.16422401640394715,-0.0919851339228502,0.08223162031697212,-0.08421376393694734,0.050230253321372126,-0.09737109658678286,0.10398735529070016,-0.08029048656499639,-0.017381349053782733,0.06311418685121106,-0.14570806100217865,-0.04066128412149173,-0.058726130975265925,-0.022890341321713872,-0.23817164338502284,-0.16782604980990215,-0.14769703960015382,-0.08731684394890855,-0.11315989576658549,0.08328420692895896,-0.02837199367764535,-0.12397283096245035,-0.004394890853945064,-0.01565209961980435,0.027729505745653377,-0.19372378145157845,0.02636934512367038,-0.0467512495194156,-0.05787859370327651,0.2093348712033833,-0.1579426716220257,-0.09145884061685677,-0.12091759579648853,0.006042120551924473,0.06530821478918364,0.20614977145542313,-0.05419454056132257,-0.17135973343585803,0.0725532914690931,-0.011182024007860225,-0.17937716262975778,-0.011913366653851084,-0.06390704429920116,-0.10343372207270708,-0.1197283096245034,0.0028775257379640307,0.03813917723952325,0.08631893716092102,0.21013456362937333,6.7,8.695652173913043,4.58,HILLPDK
-0.10177282241872784,0.19599982912555003,0.21333333333333337,0.07163740441710455,-0.22228031953522154,-0.14108078089623652,0.2476244179589047,0.28725362040240937,0.08575163398692812,-0.021502840787731216,0.05216455209534795,-0.011701482335853731,-0.03679952155154001,0.19677218163954036,-0.05138536460335769,-0.16422401640394715,-0.0930650604468367,0.06927933700713401,-0.07159639454910506,0.04567815797342903,-0.0867768806869153,0.1102550301166218,-0.07876628647101544,-0.029588619761630137,0.07115212097911061,-0.1384971592122688,-0.02363535392370456,-0.055376991755307796,-0.03513862189756077,-0.23649023879704384,-0.17572044939980352,-0.15378700499807765,-0.10342005211670725,-0.11199794950660001,0.08733051390490837,-0.03414755008757316,-0.13784783630227693,-0.0010389166559870134,-0.014524328249818447,0.02663590926566705,-0.19292408902558847,0.023956597889700542,-0.03992310649750096,-0.051426374471357165,0.21093425605536334,-0.15177068648810288,-0.08780212738690248,-0.12892135503438848,0.0042718612499466025,0.06433764791319578,0.20774915630740315,-0.059573668247255324,-0.16564569182792946,0.06975095048912812,-0.008769276773890384,-0.17645179204579436,-0.02095604254773805,-0.051467384339356666,-0.11315989576658549,-0.10342005211670725,0.0028706907599641163,0.036785851595540174,0.08024947669699689,0.2125336409073434,7.0,4.198757763975155,4.57,HILLPDK
